Num_etab;Type_e;Appellation officielle;Label;Items;Année;Date de 1ère labellisation;Renouvellement 1;Renouvellement 2;Renouvellement 3;Renouvellement 4;Secteur;Commune;Latitude;Longitude;Nature uai;Département;Type de contrat;Téléphone;Chef d'établissement;territoire
0900029T;lycée GT ou polyvalent;Lycée général et technologique privé Notre-Dame des Anges;Niveau 3;22;2024;2019 - Niveau 3;2024  -  Niveau 3;2029;;;Privé;Belfort;47.63343178269885;6.856969614711636;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;Territoire de Belfort;CONTRAT ASSOCIATION PARTIE DES CLASSES;384280558;Mme VILLAIN Christine;
0900030U;lycée GT ou polyvalent;Lycée général et technologique privé Sainte-Marie;Niveau 1;12;2025;2025 - Niveau 1;;;;;Privé;Belfort;47.64051843890259;6.857547537826508;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;Territoire de Belfort;CONTRAT D'ASSOCIATION TOUTES CLASSES;384586789;Mme GUERRIN-HOLTZER Corinne;
0900295G;collège;Collège Vauban;Niveau 3;19;2022;2019 - Niveau 1;2022  -  Niveau 3;;;;Public;Belfort;47.640149209830966;6.880679449730279;COLLEGE;Territoire de Belfort;SANS OBJET;384216467;TISSOT Philippe;territoire4
0900351T;collège;Collège Simone Signoret;Niveau 2;16;2022;2015 - Niveau 2;2020  -  Perte;2027;;;Public;Belfort;47.629446451764224;6.840144019496699;COLLEGE;Territoire de Belfort;SANS OBJET;384213244;VALENTIN Karine;
0900018F;collège;Collège Arthur Rimbaud;Niveau 2;18;2023;2018 - Niveau 2;2023  -  Niveau 2;;;;Public;Belfort;47.640014329753285;6.856221677767792;COLLEGE;Territoire de Belfort;SANS OBJET;384215612;MONCHATRE Corine;
0900017E;collège;Collège Châteaudun;Niveau 2;19;2025;2025 - Niveau 2;;;;;Public;Belfort;47.645771115844525;6.852888130471386;COLLEGE;Territoire de Belfort;SANS OBJET;384216288;COURVOISIER Christine;
0900360C;école;Ecole élémentaire Louis Aragon;Niveau 1;8;2023;2023 - Niveau 1;;;;;Public;Belfort;47.63866624022276;6.870624543832109;ECOLE DE NIVEAU ELEMENTAIRE;Territoire de Belfort;SANS OBJET;;;territoire4
0900365H;école;Ecole primaire Victor Schoelcher;Niveau 1;14;2021;2016 - Niveau 2;2021  -  Niveau 1;2026;;;Public;Belfort;47.640243489284224;6.852010046279256;ECOLE DE NIVEAU ELEMENTAIRE;Territoire de Belfort;SANS OBJET;;;
0900370N;école;Ecole élémentaire Saint-Exupéry;Niveau 3;21;2024;2021 - Niveau 1;2022  -  Niveau 2;2024  - Niveau 3;2029;;Public;Belfort;47.63311534957582;6.868628461535503;ECOLE DE NIVEAU ELEMENTAIRE;Territoire de Belfort;SANS OBJET;;;territoire4
0900118P;école;Ecole maternelle René Rucklin;Niveau 1;11;2021;2021 - Niveau 1;;;;;Public;Belfort;47.63274432840254;6.845411648365743;ECOLE MATERNELLE;Territoire de Belfort;SANS OBJET;;;
0900111G;école;Ecole maternelle Saint-Exupéry;Niveau 2;13;2023;2021 - Niveau 1;2023  -  Niveau 2;2028;;;Public;Belfort;47.63311534957582;6.868628461535503;ECOLE MATERNELLE;Territoire de Belfort;SANS OBJET;;;territoire4
0900359B;école;Ecole maternelle Louis Aragon;Niveau 2;13;2025;2023 - Niveau 1;2025  -  Niveau 2;2030;;;Public;Belfort;47.63866624022276;6.870624543832109;ECOLE MATERNELLE;Territoire de Belfort;SANS OBJET;;;territoire4
0900003P;lycée GT ou polyvalent;Lycée général et technologique Gustave Courbet;Niveau 3;16;2021;2014 - Niveau 2;2019  -  Niveau 2;2021  - Niveau 3;2027;;Public;Belfort;47.65232896846222;6.856380236282019;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;Territoire de Belfort;SANS OBJET;384540607;GAUTHIER Catherine;territoire4
0900002N;lycée GT ou polyvalent;Lycée général et technologique Condorcet;Niveau 2;?;2021;2021 - Niveau 2;;;;;Public;Belfort;47.63252927885913;6.850322315354423;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;Territoire de Belfort;SANS OBJET;384466480;DURST TAILFER Corinne;
